Carimbo de data/hora,"Sabendo dessas informações, você consente que usemos seus dados aqui para uso exclusivo da nossa pesquisa acadêmica?",Marque a sua faixa etária:,Qual é o Campus do seu Curso?,Qual seu Curso de Graduação?,Qual período você esta cursando atualmente?,Você trabalha ou estagia?,"Se você trabalha ou estagia, qual a sua modalidade de trabalho?",Você participa de algum projeto de extensão?,"Caso não participe, aponte até 2 principais motivos",Selecione até 3 tipos de projetos ou atividades extracurriculares você mais se interessa,Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Sites da Proex],"Caso use outro meio, escreva-o abaixo",Você sente facilidade em se comunicar com professores e alunos de cursos de áreas diferentes?,"Se existisse uma plataforma que divulgasse somente os projetos de extensão dentre diferentes cursos, você acredita que aumentaria a visibilidade dos projetos?",Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 2],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Contato diretamente com professor],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [E-mails da coordenação],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Mural no prédio da faculdade],Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 5]
30/09/2023 19:12:01,Sim.,18 - 24 anos,Campus Niterói,História - Licenciatura - Presencial,6º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Indiferente,Eficiente,Eficiente,
30/09/2023 19:14:34,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,4º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Não consigo achar nenhum projeto","Projetos de pesquisa, Atividades culturais, Projetos de empreendedorismo",Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Nada eficiente,Nada eficiente,Nada eficiente,
30/09/2023 19:14:42,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 30h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Não consigo achar nenhum projeto",Atividades culturais,Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
30/09/2023 19:21:18,Sim.,25 - 34 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,8º período,"Sim, aproximadamente 30h semanais.",Remoto.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Piorizo outras atividades no momento","Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Muito eficiente,Muito eficiente,Nada eficiente,
30/09/2023 19:27:27,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,7º período,"Sim, aproximadamente 30h semanais.",Presencial.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Piorizo outras atividades no momento","Projetos de pesquisa, Atividades culturais",Eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Pouco eficiente,Indiferente,Pouco eficiente,
30/09/2023 19:27:37,Sim.,25 - 34 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,3º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Eficiente,Eficiente,
30/09/2023 19:32:40,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,7º período,"Sim, aproximadamente 40h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,Falta de tempo,Nenhuma das anteriores,Não se aplica,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Muito eficiente,Eficiente,Indiferente,
30/09/2023 19:33:16,Sim.,25 - 34 anos,Campus Niterói,Geografia - Bacharelado - Presencial,Mais de 10 períodos,Não.,,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de pesquisa, Atividades culturais",Nada eficiente,O WhatsApp do Dater é muito eficaz para esse propósito.,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Pouco eficiente,Indiferente,
30/09/2023 19:38:13,Sim.,18 - 24 anos,Campus Niterói,Estatística - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.",Não consigo achar nenhum projeto,Projetos de pesquisa,Pouco eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Eficiente,Muito eficiente,Eficiente,
30/09/2023 20:06:26,Sim.,18 - 24 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,5º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Pouco eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Eficiente,Muito eficiente,Muito eficiente,
30/09/2023 20:11:38,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,3º período,Não.,,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de serviço comunitário, Projetos de empreendedorismo",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Indiferente,Indiferente,
30/09/2023 20:22:08,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,5º período,"Sim, aproximadamente 40h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento",Projetos de empreendedorismo,Pouco eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Pouco eficiente,
30/09/2023 20:29:15,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,5º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não tem projetos de meu interesse,Nenhuma das anteriores,Nada eficiente,,"Sim, mas somente com os professores","Sim, bastante",,Indiferente,Indiferente,Pouco eficiente,
30/09/2023 20:29:40,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,3º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa",Não se aplica,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Pouco eficiente,Pouco eficiente,
30/09/2023 20:42:38,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,8º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.","Não tem projetos de meu interesse, Poucos projetos com bolsa","Projetos de serviço comunitário, Atividades culturais, Ensino. Ex. Poderia existir um projeto de extensão para ensino de computação básica para idosos ou crianças de escola pública.",Eficiente,Lista de emails da UFF ; Telegram Oficial da UFF,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Indiferente,
30/09/2023 20:44:49,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,4º período,"Sim, aproximadamente 40h semanais.",Remoto.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento",Projetos de pesquisa,Pouco eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, um pouco",,Eficiente,Eficiente,Eficiente,
30/09/2023 21:04:04,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,6º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Não consigo achar nenhum projeto",Projetos de pesquisa,Pouco eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Muito eficiente,Eficiente,Pouco eficiente,
30/09/2023 21:10:08,Sim.,25 - 34 anos,Campus Rio das Ostras,Produção Cultural - Bacharelado - Presencial,4º período,"Sim, aproximadamente 40h semanais.",Presencial.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Eficiente,Indiferente,
30/09/2023 21:12:44,Sim.,18 - 24 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,4º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Não tem projetos de meu interesse","Projetos de serviço comunitário, Projetos de pesquisa",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Pouco eficiente,Pouco eficiente,
30/09/2023 21:13:35,Sim.,18 - 24 anos,Campus Rio das Ostras,Produção Cultural - Bacharelado - Presencial,2º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Piorizo outras atividades no momento","Projetos de serviço comunitário, Atividades culturais, Projetos de empreendedorismo",Eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Nada eficiente,Eficiente,
30/09/2023 21:14:11,Sim.,18 - 24 anos,Campus Rio das Ostras,Enfermagem - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Para concorrer a bolsas de alguns projetos, precisar estar em periodos mais avançados",Projetos de pesquisa,Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Eficiente,Pouco eficiente,
30/09/2023 21:14:17,Sim.,25 - 34 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,8º período,"Sim, aproximadamente 40h semanais.",Presencial.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de pesquisa, Atividades culturais",Nada eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Muito eficiente,
30/09/2023 21:17:10,Sim.,18 - 24 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,9º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Não consigo achar nenhum projeto",Projetos de pesquisa,Nada eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Nada eficiente,Nada eficiente,Nada eficiente,
30/09/2023 21:18:19,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 40h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento","Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Indiferente,,"Sim, mas somente com os alunos","Sim, bastante",,Eficiente,Muito eficiente,Eficiente,
30/09/2023 21:22:32,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,2º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Horário das aulas da faculdade não colabora, além dos projetos de extensão serem muito muito excassos.","Projetos de empreendedorismo, desenvolvimento de soluções com softwares",Nada eficiente,,"Sim, mas somente com os professores","Sim, bastante",,Nada eficiente,Nada eficiente,Nada eficiente,
30/09/2023 21:30:35,Sim.,25 - 34 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,Mais de 10 períodos,"Sim, aproximadamente 20h semanais.",Presencial.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Indiferente,"Instagram, divulgação em sala de aula, atividades voltadas para divulgar os projetos ","Sim, mas somente com os alunos","Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
30/09/2023 21:36:31,Sim.,25 - 34 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,Mais de 10 períodos,"Sim, aproximadamente 20h semanais.",Presencial.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de pesquisa, Atividades culturais",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, um pouco",,Eficiente,Eficiente,Indiferente,
30/09/2023 21:41:52,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,2º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de serviço comunitário, Projetos de pesquisa",Eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Eficiente,Muito eficiente,Eficiente,
30/09/2023 21:46:09,Sim.,18 - 24 anos,Campus Rio das Ostras,Enfermagem - Bacharelado - Presencial,7º período,Não.,,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Muito eficiente,Indiferente,Indiferente,
30/09/2023 21:47:18,Sim.,18 - 24 anos,Campus Rio das Ostras,Enfermagem - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Não consigo achar nenhum projeto","Projetos de pesquisa, Atividades culturais, Projetos de empreendedorismo",Muito eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Eficiente,Eficiente,
30/09/2023 21:49:51,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,4º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não consigo achar nenhum projeto, Piorizo outras atividades no momento",Projetos de pesquisa,Não se aplica,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Pouco eficiente,Nada eficiente,
30/09/2023 21:52:56,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,3º período,"Sim, aproximadamente 30h semanais.",Remoto.,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de pesquisa, Projetos de empreendedorismo",Não se aplica,grupos whatsapp/telegram,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Muito eficiente,Pouco eficiente,
30/09/2023 21:58:45,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,3º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Não se aplica,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Não se aplica,
30/09/2023 22:05:27,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 20h semanais.",Remoto.,"Sim, participo de um projeto de extensão com bolsa.",,Atividades culturais,Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
30/09/2023 22:07:10,Sim.,25 - 34 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,2º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de pesquisa, Atividades culturais",Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Pouco eficiente,Eficiente,
30/09/2023 22:58:08,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,2º período,Não.,,Não participo e não tenho interesse no momento.,"Piorizo outras atividades no momento, Apenas não quero",Nenhuma das anteriores,Não se aplica,,"Sim, mas somente com os alunos","Sim, bastante",,Muito eficiente,Eficiente,Eficiente,
30/09/2023 23:02:47,Sim.,25 - 34 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,7º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.","Não tem projetos de meu interesse, Piorizo outras atividades no momento",Projetos de empreendedorismo,Indiferente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, um pouco",,Eficiente,Indiferente,Eficiente,
30/09/2023 23:19:46,Sim.,35 - 44 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,2º período,"Sim, aproximadamente 30h semanais.",Híbrido.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Não tem projetos de meu interesse","Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Eficiente,Nada eficiente,
30/09/2023 23:49:57,Sim.,18 - 24 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,4º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,Projetos de pesquisa,Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Muito eficiente,Muito eficiente,Nada eficiente,
30/09/2023 23:58:49,Sim.,18 - 24 anos,Campus Rio das Ostras,Ciência da Computação - Bacharelado - Presencial,6º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.",Não tem projetos de meu interesse,Projetos de empreendedorismo,Nada eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, um pouco",,Eficiente,Eficiente,Nada eficiente,
01/10/2023 00:24:39,Sim.,18 - 24 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,8º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa",Indiferente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Nada eficiente,Nada eficiente,Nada eficiente,
01/10/2023 10:26:28,Sim.,18 - 24 anos,Campus Rio das Ostras,Psicologia - Bacharelado - Presencial,10º período,"Sim, aproximadamente 30h semanais.",Presencial.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Piorizo outras atividades no momento","Projetos de pesquisa, Atividades culturais",Indiferente,"Atualmente, fico mais atenta à e-mails e grupos em rede social que circulam informações acadêmicas","Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
01/10/2023 10:48:36,Sim.,18 - 24 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,7º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Piorizo outras atividades no momento",Projetos de pesquisa,Pouco eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Muito eficiente,Indiferente,
01/10/2023 12:40:21,Sim.,45 - 54 anos,Campus Niterói,Geografia - Bacharelado - Presencial,8º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de pesquisa, Projetos de empreendedorismo",Eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Indiferente,Eficiente,Indiferente,
